symbol,date,close,log_return,abs_return,log_volume,rv,rv_lag1,rv_next,st_n_msgs,st_n_bull,st_n_bear,st_labelled,st_bullish_ratio,st_labelled_share,st_log_msgs,st_af_bullishness,st_af_agreement,news_sent_wmean,news_article_count
AAPL,2023-01-03,122.99390173464607,,,18.535057736735887,0.031698868626592734,,0.016927605130138357,,,,,,,,,,-0.06312481862378137,6.0
AAPL,2023-01-04,124.2624883920195,0.010261395373069422,0.010261395373069422,18.3054228998145,0.016927605130138357,0.031698868626592734,0.01431730756405219,,,,,,,,,,0.07932036612753197,2.0
AAPL,2023-01-05,122.9447317091665,-0.010661251430218054,0.010661251430218054,18.209499223912005,0.01431730756405219,0.016927605130138357,0.025421386640923006,,,,,,,,,,0.3005896965614072,2.0
AAPL,2023-01-06,127.46837405328876,0.03613336849590349,0.03613336849590349,18.29005616245586,0.025421386640923006,0.01431730756405219,0.01605849899404211,,,,,,,,,,0.14306372819418342,5.0
AAPL,2023-01-09,127.98957632337245,0.0040805384410047075,0.0040805384410047075,18.075239804483527,0.01605849899404211,0.025421386640923006,0.014557717947538084,,,,,,,,,,0.127308,1.0
AAPL,2023-01-10,128.55994861893566,0.004446496133194062,0.004446496133194062,17.972769761043764,0.014557717947538084,0.01605849899404211,0.013878798294035401,,,,,,,,,,0.09683855981398194,3.0
AAPL,2023-01-11,131.27413402540904,0.020892441093872414,0.020892441093872414,18.056246488552066,0.013878798294035401,0.014557717947538084,0.012748559972585234,,,,,,,,,,0.14467703988223732,5.0
AAPL,2023-01-12,131.19546198464167,-0.0005994754769264649,0.0005994754769264649,18.083523358670405,0.012748559972585234,0.013878798294035401,0.014689227484853764,,,,,,,,,,0.07089263605783741,6.0
AAPL,2023-01-13,132.5230526725906,0.010068325347637469,0.010068325347637469,17.87266748559424,0.014689227484853764,0.012748559972585234,0.013984667001684586,,,,,,,,,,0.1396031263879102,5.0
AAPL,2023-01-17,133.68346527390892,0.008718193380139879,0.008718193380139879,17.96885690434518,0.013984667001684586,0.014689227484853764,0.01571504013167625,,,,,,,,,,0.331049,1.0
AAPL,2023-01-18,132.9655829019069,-0.005384486547825581,0.005384486547825581,18.059320570016148,0.01571504013167625,0.013984667001684586,0.011032024800339896,,,,,,,,,,-0.006458366492362858,3.0
AAPL,2023-01-19,133.02458693248244,0.0004436557304360303,0.0004436557304360303,17.88077664290366,0.011032024800339896,0.01571504013167625,0.016766682382276996,,,,,,,,,,-0.06883072005514317,3.0
AAPL,2023-01-20,135.5814282574211,0.01903843108243507,0.01903843108243507,18.200328630447896,0.016766682382276996,0.011032024800339896,0.023131347509531504,,,,,,,,,,,
AAPL,2023-01-23,138.76764590849854,0.023228515886131916,0.023228515886131916,18.2193025249211,0.023131347509531504,0.016766682382276996,0.012119264321501193,,,,,,,,,,0.3456902342304356,4.0
AAPL,2023-01-24,140.16407463211888,0.010012775797270213,0.010012775797270213,18.011736736485098,0.012119264321501193,0.023131347509531504,0.015461183575500284,,,,,,,,,,0.3337946844133696,2.0
AAPL,2023-01-25,139.5051962906924,-0.004711848092998863,0.004711848092998863,18.0021205178273,0.015461183575500284,0.012119264321501193,0.009864410695757173,,,,,,,,,,0.009058747646706607,3.0
AAPL,2023-01-26,141.57033736083514,0.01469482743688913,0.01469482743688913,17.806438436285106,0.009864410695757173,0.015461183575500284,0.0171712912902745,,,,,,,,,,-0.043625592844506435,2.0
AAPL,2023-01-27,143.50763636473098,0.013591571468824453,0.013591571468824453,18.071915067701365,0.0171712912902745,0.009864410695757173,0.011245233203869482,,,,,,,,,,0.011489,1.0
AAPL,2023-01-30,140.626272871627,-0.020282424419747112,0.020282424419747112,17.974632284721345,0.011245233203869482,0.0171712912902745,0.008632875472207228,,,,,,,,,,0.1600351479099407,3.0
AAPL,2023-01-31,141.89485952900043,0.008980533049257052,0.008980533049257052,18.003261367448747,0.008632875472207228,0.011245233203869482,0.022070130275374744,,,,,,,,,,0.08871382494557357,4.0
AAPL,2023-02-01,143.0159361099351,0.007869707880454494,0.007869707880454494,18.167897674889204,0.022070130275374744,0.008632875472207228,0.012077836320804728,,,,,,,,,,-0.127057,1.0
AAPL,2023-02-02,148.31646485663487,0.036392201584881996,0.036392201584881996,18.589063784393257,0.012077836320804728,0.022070130275374744,0.03759531047866684,,,,,,,,,,0.010460202047796458,4.0
AAPL,2023-02-03,151.9353787319327,0.0241070235632993,0.0241070235632993,18.854780849084626,0.03759531047866684,0.012077836320804728,0.0091702584283628,,,,,,,,,,0.07151557651418564,3.0
AAPL,2023-02-06,149.2113593203634,-0.018091470800650468,0.018091470800650468,18.061979562866657,0.0091702584283628,0.03759531047866684,0.01802584676560625,,,,,,,,,,0.013267223533544353,5.0
AAPL,2023-02-07,152.08288880837148,0.01906187359392895,0.01906187359392895,18.238229802788613,0.01802584676560625,0.0091702584283628,0.013404502386243272,,,,,,,,,,0.12384590272931077,2.0
AAPL,2023-02-08,149.39820541718584,-0.0178104326270484,0.0178104326270484,17.976268133365483,0.013404502386243272,0.01802584676560625,0.015411472815458639,,,,,,,,,,0.21663277108738688,3.0
AAPL,2023-02-09,148.36563488211448,-0.006935527652047143,0.006935527652047143,17.840989811991452,0.015411472815458639,0.013404502386243272,0.008472654404624793,,,,,,,,,,-0.129281,1.0
AAPL,2023-02-10,148.7294930706634,0.0024494401707488367,0.0024494401707488367,17.86643790334912,0.008472654404624793,0.015411472815458639,0.01314604178295581,,,,,,,,,,0.21485942854268547,2.0
AAPL,2023-02-13,151.52660425747675,0.018632041980352943,0.018632041980352943,17.94584970549373,0.01314604178295581,0.008472654404624793,0.011474157278133024,,,,,,,,,,0.23882199999999998,1.0
AAPL,2023-02-14,150.88642035908637,-0.0042338444615598585,0.0042338444615598585,17.937917236609227,0.011474157278133024,0.01314604178295581,0.010204995239677245,,,,,,,,,,-0.115046,1.0
AAPL,2023-02-15,152.9842537491964,0.01380762869332509,0.01380762869332509,18.000141383045356,0.010204995239677245,0.011474157278133024,0.011568352081362334,,,,,,,,,,0.34243909047792237,2.0
AAPL,2023-02-16,151.3887184947465,-0.010484175762975181,0.010484175762975181,18.037484968320115,0.011568352081362334,0.010204995239677245,0.008499115612179736,,,,,,,,,,0.12882013653777158,3.0
AAPL,2023-02-17,150.246236460696,-0.0075752990741620625,0.0075752990741620625,17.895487718255463,0.008499115612179736,0.011568352081362334,0.011602600986967566,,,,,,,,,,0.2004315483453494,4.0
AAPL,2023-02-21,146.23770035846698,-0.02704214212478832,0.02704214212478832,17.89079514405654,0.011602600986967566,0.008499115612179736,0.011279425221324541,,,,,,,,,,0.21605871436576793,3.0
AAPL,2023-02-22,146.66120662970988,0.0028918275642234913,0.0028918275642234913,17.747557852394337,0.011279425221324541,0.011602600986967566,0.012512985310074564,,,,,,,,,,0.10751331553478813,2.0
AAPL,2023-02-23,147.1438067992657,0.003285176096603101,0.003285176096603101,17.69489156297649,0.012512985310074564,0.011279425221324541,0.006027186946885334,,,,,,,,,,0.12888715669084347,6.0
AAPL,2023-02-24,144.49443035823475,-0.018169423547164117,0.018169423547164117,17.831345807095556,0.006027186946885334,0.012512985310074564,0.006964984488181001,,,,,,,,,,0.21340057981706778,2.0
AAPL,2023-02-27,145.68615730754604,0.008213737927316467,0.008213737927316467,17.622139069379557,0.006964984488181001,0.006027186946885334,0.009133106364677188,,,,,,,,,,-0.045866345727489016,4.0
AAPL,2023-02-28,145.18385917188593,-0.003453767019682402,0.003453767019682402,17.738414134705064,0.009133106364677188,0.006964984488181001,0.00911837849501394,,,,,,,,,,0.10807095309431292,23.0
AAPL,2023-03-01,143.1155727309324,-0.014348428726582282,0.014348428726582282,17.83151498453641,0.00911837849501394,0.009133106364677188,0.011614394418726874,,,,,,,,,,0.16350317917866775,3.0
AAPL,2023-03-02,143.70651171406195,0.004120601943326343,0.004120601943326343,17.772119894299834,0.011614394418726874,0.00911837849501394,0.015214064859468624,,,,,,,,,,0.2755120083398256,2.0
AAPL,2023-03-03,148.7491910367677,0.03448849930231914,0.03448849930231914,18.074412858234144,0.015214064859468624,0.011614394418726874,0.011012665374835275,,,,,,,,,,0.08054172932442023,6.0
