id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658372109,2026-07-06T19:01:24Z,CSCO,$DELL $HPE $CSCO $NTAP $IBM I like the margin expansion and expect more into YE.,,1451141,284
658355326,2026-07-06T16:34:02Z,CSCO,$CSCO above 119 and we could see a rally.  GL.,Bullish,628010,329
658331663,2026-07-06T13:53:33Z,CSCO,$CSCO a steal down here… 🤩￼,,1735470,4
658326373,2026-07-06T13:21:57Z,CSCO,"Top Pick of the Week: Cisco Systems $CSCO can be bought today for another week, and Sold on the Close Friday. https://abovethegreenline.com",,2850978,534
658298753,2026-07-05T21:37:44Z,CSCO,do you remember the dot com run up with Cisco  $CSCO - are we seeing the same moves?,,10891545,13
658278444,2026-07-04T20:37:11Z,CSCO,"$CSCO this should be a classic pull back/base out between here and $100 share, load the boat - build the position or add on and get ready for the next leg up…… money will be rolling back into software ….S&amp;P‘s not done  🤩￼",Bullish,1735470,4
658249337,2026-07-03T15:13:31Z,CSCO,"$DIA  only 2 losers $CAT $CSCO  weird, factors only $SPYV up",,429156,100
658208680,2026-07-02T19:17:19Z,CSCO,$CSCO  Over priced,Bearish,10799032,0
658193045,2026-07-02T17:34:00Z,CSCO,$CSCO when its raining gold! $SPY,Bullish,842009,98
658192979,2026-07-02T17:33:39Z,CSCO,We will HOLD the Top Pick: Cisco Systems $CSCO and Sell NEXT Friday. https://abovethegreenline.com/wp-content/uploads/2021/01/ST-1.jpg http,,2850978,534
658171730,2026-07-02T15:33:33Z,CSCO,$CSCO more upside potential as Dan Niles told you than other Vulnerable AI Picks and Shovels   $QQQ $XLK,,145178,1082
658171648,2026-07-02T15:33:09Z,CSCO,$CSCO what is going on ::.....:::,,6608014,83
658121593,2026-07-02T06:01:51Z,CSCO,$CSCO,,10425843,534
658083762,2026-07-01T19:35:37Z,CSCO,$CSCO hidden jewel in a Sea of Red . . . next for a Meteoric Run?   $QQQ $XLK,,145178,1082
658079480,2026-07-01T19:06:00Z,CSCO,$INTC  Overbought and as Vulnerable as $AMD for Plunge to 60s or lower . . . $CSCO instead on Data Center Buildout,,145178,1082
658048599,2026-07-01T15:45:08Z,CSCO,"$CSCO ESP vesting today, so a lot of small sell orders keeping price lower.  I think we get to $100 and bounce if the market trends higher.",,5736283,264
658047777,2026-07-01T15:40:10Z,CSCO,"$CSCO   Is really extended and starting to look tired now, I think this stock is due for a major pullback in this next half of 2025. Momentum is slowing dowm I think this heads back under $100",Bearish,194560,9627
658043082,2026-07-01T15:16:19Z,CSCO,$CSCO $APLD this meta story is the biggest rubbish stunt since a while.,Bullish,842009,98
658037493,2026-07-01T14:52:05Z,CSCO,"$CSCO meta planning is total none sense, and hence the word planning! duh! they themselves need at least 2 years to get what they need. $APLD",Bullish,842009,98
658017972,2026-07-01T13:32:24Z,CSCO,$CSCO This fucking stock. Sure - this day it drops. We all know why!,,3078855,21
657942036,2026-06-30T18:14:47Z,CSCO,"$CSCO trading around $117 after a strong ~84% run, with sentiment increasingly focused on an AI-driven refresh cycle. However, price action is starting to look stretched and momentum is cooling. The key level remains $120, where prior attempts have struggled. For now, the tape feels more like digestion than acceleration, and confirmation is still needed before chasing further upside.",,6986821,11
657934395,2026-06-30T17:18:58Z,CSCO,"$CSCO is currently moving sideways. The price action is tight, with neither buyers nor sellers taking full control today. I am keeping my position as is, waiting for a breakout or a breakdown of the current range. No sense in overtrading this setup.",,6987248,4
657826875,2026-06-29T19:09:16Z,CSCO,"$META    The valuation gap here is starting to look stretched to the downside.    $META is currently trading at ~16.4x forward earnings - levels that sit near historical lows for a company still compounding revenue at ~23% YoY.    On a relative basis, it’s now trading cheaper than $AAPL, $AMZN, $MSFT, and even legacy multiple names like $CSCO, despite materially stronger growth dynamics.    That’s the core disconnect: price is compressing toward “value” multiples while the business is still behaving like a high-growth compounder.    Market narrative is leaning cautious, but the fundamentals haven’t slowed at the same pace.    This is exactly the type of divergence that forces re-rating cycles when sentiment eventually flips.",,10856765,789
657767856,2026-06-29T13:25:24Z,CSCO,"Top Pick of the Week: Cisco Systems $CSCO to be bought on the Open tadan, and Sold on the Close Thursday. https://abovethegreenline.com/wp-",,2850978,534
657671628,2026-06-26T23:01:30Z,CSCO,@Saunson69 $CSCO,,7068827,163
657659120,2026-06-26T20:28:45Z,CSCO,$CSCO what&#39;s the huge volume at the close?,,4742063,51
657628809,2026-06-26T17:14:53Z,CSCO,$CSCO buyers of the gap are in trouble..,,10080284,167
657615463,2026-06-26T15:49:03Z,CSCO,@howardlindzon $CSCO a logical  suitor for $AKAM,,4060925,42
657608203,2026-06-26T15:12:00Z,CSCO,$CSCO another wierd breakdown   lots of them in tech   $AKAM a mess too,,5,389334
657608037,2026-06-26T15:11:05Z,CSCO,Probably nothing... $CSCO,Bearish,13621,224305
