Date,Open,High,Low,Close,Volume,Symbol
2023-01-03,88.79305423242485,90.24510339746924,87.73746900322875,88.33216490700121,28131224,GOOGL
2023-01-04,89.55129150973472,89.84863946162096,86.49951036354244,87.30135867379563,34854776,GOOGL
2023-01-05,86.69675117162697,86.79586715558905,85.1406302234224,85.43797817530863,27194375,GOOGL
2023-01-06,86.02276248068488,86.91480633634353,84.10982399021682,86.56790039247628,41381495,GOOGL
2023-01-09,87.57888342888944,89.2539435578485,87.08330350907907,87.24188908341839,29003901,GOOGL
2023-01-10,85.21992301059207,87.88614297917188,85.07124903464894,87.63835301926669,30467755,GOOGL
2023-01-11,88.39163449737846,90.79024130926068,88.22313732464293,90.710948522091,26861969,GOOGL
2023-01-12,90.67130212850618,91.05785446595829,88.95659560596229,90.32439618463891,30258135,GOOGL
2023-01-13,90.0468714295451,91.37502561463693,89.33313722903421,91.30564442586346,26329212,GOOGL
2023-01-17,91.24617483548622,91.43449520501416,89.2539435578485,90.48298175897824,32602423,GOOGL
2023-01-18,91.32546762265588,91.9795340008216,89.83872786322475,90.31448458624271,29116691,GOOGL
2023-01-19,89.91802065039441,92.77751678770028,89.82881626482855,92.22742307671076,37000395,GOOGL
2023-01-20,94.2593007479333,97.43101223471967,94.18000796076365,97.15348747962588,63191078,GOOGL
2023-01-23,97.08410629085245,99.1556303556598,96.6380843630231,98.90784039575462,40005055,GOOGL
2023-01-24,97.23278026679554,98.72943162462288,96.34073641113687,96.83631633094724,33078512,GOOGL
2023-01-25,94.72514587255505,95.31191249761054,92.93114656284148,94.3782399286878,42329952,GOOGL
2023-01-26,95.64692452340236,96.70746555179656,94.5368255030271,96.65790755981553,30113974,GOOGL
2023-01-27,96.44976399349515,99.4331551107536,96.44976399349515,98.4915532631139,33879753,GOOGL
2023-01-30,96.61826116623068,97.42110063632347,95.54285274024215,96.08303485283548,27226198,GOOGL
2023-01-31,96.01365366406203,98.00588494169972,95.96409567208096,97.9662385481149,29870669,GOOGL
2023-02-01,97.8373877689642,100.29546417122366,96.71737715019276,99.5421826931119,35531104,GOOGL
2023-02-02,104.86471103187532,106.89658870309783,104.67639066234736,106.78756112073955,69883762,GOOGL
2023-02-03,102.02008229216378,106.85694230951304,101.67317634829652,103.85372799546217,65309261,GOOGL
2023-02-06,101.49476757716478,103.43744086282145,100.97936446056195,101.99034749697516,31999562,GOOGL
2023-02-07,102.3075186456538,107.2236714501727,102.20840266169172,106.6884451367775,49010230,GOOGL
2023-02-08,101.14786163329752,102.22822585848412,97.1683548772202,98.4915532631139,94743515,GOOGL
2023-02-09,99.11598396207496,99.1457187572636,92.8022957836908,94.17009636236745,119455020,GOOGL
2023-02-10,94.60620669180057,95.89471448330754,93.41681488425566,93.7339860329343,54980696,GOOGL
2023-02-13,93.90248320566982,94.35841673189536,93.01043935001115,93.77363242651911,50076120,GOOGL
2023-02-14,93.5952236553874,94.00655498883,91.44440680341036,93.8430136152926,54726120,GOOGL
2023-02-15,93.65469324576463,96.2614436239672,93.3176989002936,96.08303485283548,50298481,GOOGL
2023-02-16,94.5269139046309,96.81649313415484,93.90248320566982,94.6656762821778,42462618,GOOGL
2023-02-17,94.0115107880281,94.71513515817487,92.38600865105008,93.51593086821772,34284118,GOOGL
2023-02-21,92.17786508472972,92.2769810686918,90.90918049001516,90.97856167878862,33629256,GOOGL
2023-02-22,90.88935729322274,91.29573282746723,89.80899306803613,90.83979930124173,30884017,GOOGL
2023-02-23,91.10741245793932,91.12723565473172,88.96650720435849,90.08651782312994,41206380,GOOGL
2023-02-24,88.64933605567985,89.09535798350919,87.7919827944079,88.34207650539742,36585093,GOOGL
2023-02-27,89.07553478671677,89.3629711402068,88.54526427251967,89.07553478671677,27502302,GOOGL
2023-02-28,88.54030847332157,90.423512168601,88.53039687492536,89.26385515624472,30142039,GOOGL
2023-03-01,89.18456236907507,90.22528020067683,88.87730281879263,89.56120310813094,31111225,GOOGL
2023-03-02,88.86739122039641,91.45927420100467,88.79801003162297,91.18670524510895,32226229,GOOGL
2023-03-03,91.66246196812692,92.90141176765287,91.63272717293832,92.8221189804832,35160105,GOOGL
2023-03-06,93.18389232194478,95.12160980840336,93.16902492435048,94.28903554312193,32639313,GOOGL
2023-03-07,94.1403615671788,94.82426185651713,92.70317979972872,93.03026254680356,27835476,GOOGL
2023-03-08,93.28796410510496,95.10674241080903,93.16902492435048,93.41681488425566,34103265,GOOGL
2023-03-09,93.2185829163315,94.6854994789702,91.0875892611469,91.5038763937876,28813532,GOOGL
2023-03-10,91.3552024178445,91.96972151840936,89.59589370251767,89.82881626482855,35941046,GOOGL
2023-03-13,89.29358995143335,91.7516663536928,88.62951285888744,90.3045729878465,37335573,GOOGL
2023-03-14,91.7417547552966,93.52584246661394,91.6228155745421,93.13929012916184,36050214,GOOGL
2023-03-15,92.39592024944628,96.07312325443928,91.82104754246625,95.26037218595025,50622050,GOOGL
2023-03-16,95.34957657151612,100.29546417122366,94.6557646837816,99.4331551107536,65567656,GOOGL
2023-03-17,99.37368552037636,101.92592210739978,99.21509994603704,100.7216629022606,61028547,GOOGL
2023-03-20,99.23492314282946,100.85051368141129,98.98713318292428,100.32519896641227,32960440,GOOGL
2023-03-21,100.3549337616009,104.1708991441408,100.32519896641227,103.99249037300906,42110279,GOOGL
2023-03-22,103.34823647725555,105.6477273051757,102.41654622801208,102.4561926215969,43427419,GOOGL
2023-03-23,104.13125275055596,105.36029095168568,103.53655684678353,104.66647906395116,40797769,GOOGL
2023-03-24,104.06187156178252,104.55745148159288,102.92203774621863,104.50789348961185,30411043,GOOGL
2023-03-27,103.69018662192472,103.83390479866976,101.02624632097604,101.554237167542,31120864,GOOGL
2023-03-28,101.5344139707496,101.5443255691458,98.85828240377356,100.13687859688434,32057865,GOOGL
2023-03-29,101.37582839641028,101.58397196273064,99.76023785782846,100.4936961391478,28779572,GOOGL
2023-03-30,100.01793941612983,100.26077357683694,98.8979287973584,99.99811621933743,33086183,GOOGL
2023-03-31,100.40449175358194,102.97159573819968,100.14679019528056,102.81301016386035,36863369,GOOGL
2023-04-03,101.48485597876856,103.60593803555696,101.02892245254304,103.43744086282145,25035399,GOOGL
2023-04-04,103.40770606763282,104.64665586715876,103.1202697141428,103.7942584050849,24420079,GOOGL
2023-04-05,104.8448878350829,105.16205898376154,102.7436289750869,103.54646844517973,28290503,GOOGL
2023-04-06,104.32948471848012,108.20491969139724,103.40770606763282,107.46154981168168,48711480,GOOGL
2023-04-10,106.0342796426278,106.63888714479646,104.1907223409332,105.4990533292326,27067355,GOOGL
2023-04-11,105.60808091159087,105.78648968272262,103.75461201150009,104.41868910404598,26311803,GOOGL
2023-04-12,105.6378157067795,105.80631287951503,103.41761766602905,103.71496561791524,24370274,GOOGL
2023-04-13,104.90435742546016,106.53977116083438,104.90435742546016,106.48030157045714,24843579,GOOGL
2023-04-14,105.94507525706192,107.97695292828448,105.8955172650809,107.90757173951104,26578002,GOOGL
2023-04-17,103.7328064950284,105.2215285741388,103.59602643716076,105.03320820461084,37402371,GOOGL
2023-04-18,105.54861132121364,105.59816931319467,103.1500045093314,103.57620324036834,26596445,GOOGL
2023-04-19,102.66433618791726,104.05195996338632,102.15884466971066,103.2590320916897,20905684,GOOGL
2023-04-20,102.9914189349921,105.31073295970464,102.95018668566388,104.35921951366876,27820794,GOOGL
2023-04-21,104.53762828480046,105.06294299979946,103.85372799546217,104.47815869442324,25800082,GOOGL
2023-04-24,104.55745148159288,105.68737369876054,103.7744352082925,105.03320820461084,23542829,GOOGL
2023-04-25,104.88949002786585,105.7468432891378,102.92203774621863,102.93194934461484,46664104,GOOGL
2023-04-26,103.99249037300906,105.40984894366672,101.72273434027754,102.79318696706794,53139175,GOOGL
2023-04-27,103.52664524838733,107.41199181970065,102.62468979433244,106.63888714479646,50089187,GOOGL
2023-04-28,106.09374923300506,106.40100878328748,104.1609875457446,106.39109718489128,36139847,GOOGL
2023-05-01,105.8955172650809,107.03535108064476,105.87569406828848,106.25233480734435,26681680,GOOGL
2023-05-02,106.19286521696712,106.25233480734435,102.79318696706794,104.38895430885736,30997245,GOOGL
2023-05-03,104.59709787517772,106.53977116083438,104.03213676659388,104.47815869442324,21795405,GOOGL
2023-05-04,104.55249568239478,104.66647906395116,103.05088852536934,103.76452360989629,23419506,GOOGL
2023-05-05,103.89337438904698,104.94400381904498,103.18965090291626,104.63674426876254,26639254,GOOGL
2023-05-08,104.25019193131044,107.00561628545611,104.23036873451804,106.81729591592818,26511445,GOOGL
2023-05-09,107.43181501649306,109.17625633422558,106.24242320894815,106.40100878328748,36360141,GOOGL
2023-05-10,107.01552788385234,111.94159228676747,106.97588149026753,110.76211207761878,63153367,GOOGL
2023-05-11,114.3748896930364,116.8775682880788,113.39859725100996,115.5395025045908,78900029,GOOGL
2023-05-12,115.64853008694908,116.98659587043709,115.08356897836524,116.4711927538343,41102330,GOOGL
2023-05-15,115.08356897836524,117.43261779826642,114.98445299440316,115.48003291421357,36266765,GOOGL
2023-05-16,115.46020971742112,119.68255063420553,115.40074012704387,118.4535124330758,45035558,GOOGL
2023-05-17,118.55262841703788,120.5944176866566,117.83899333251094,119.7717550197714,33323588,GOOGL
2023-05-18,119.88078260212968,122.21991982363464,119.7618434213752,121.74416310061667,35234233,GOOGL
2023-05-19,122.45779818514362,124.85640499702583,121.07017440967458,121.67478191184324,41353445,GOOGL
2023-05-22,121.85319068297495,125.31233852325138,121.6549587150508,123.94453794457476,35253034,GOOGL
2023-05-23,123.06240568731228,123.52329501273591,121.13004046398768,121.47654994391908,34046251,GOOGL
2023-05-24,120.0492797748652,120.8322960481656,118.80041837694306,119.83122461014864,34182635,GOOGL
2023-05-25,123.41922322957576,124.21215110127234,120.88185404014662,122.38841699637018,42316986,GOOGL
2023-05-26,122.08115744608774,124.1526815108951,121.3675223615608,123.5084276151416,35635937,GOOGL
2023-05-30,124.529322249951,124.5491454467434,120.92150043373148,122.57673736589813,35076658,GOOGL
2023-05-31,121.66487031344704,122.96338881933416,121.41708035354183,121.78380949420152,37244191,GOOGL
2023-06-01,121.72929570302236,123.32010724561368,121.53601953429632,122.62629535787914,30772683,GOOGL
2023-06-02,122.89390851457676,125.03481376815758,122.665941751464,123.56789720551886,26980147,GOOGL
2023-06-05,122.91373171136918,126.30349836287212,122.74523453863364,124.89605139061068,32305531,GOOGL
2023-06-06,124.89605139061068,127.15589582494596,124.2517974948572,126.18455918211764,26638295,GOOGL
2023-06-07,125.84756483664658,127.89926570466152,121.04043961448596,121.41708035354183,52538986,GOOGL
2023-06-08,121.14451139764611,122.13567123726688,120.1682189556197,121.06026281127836,29389167,GOOGL
2023-06-09,121.16929039363664,122.66098595226588,120.8322960481656,121.14946719684424,23778319,GOOGL
2023-06-12,121.69956090783374,122.953378104954,120.5845060882604,122.5470025707095,28338743,GOOGL
2023-06-13,123.8751567558013,124.05356552693304,122.09106904448396,122.73532294023744,22278313,GOOGL
2023-06-14,122.01177625731428,122.953378104954,120.37636252194004,122.57673736589813,30592297,GOOGL
2023-06-15,122.05142265089911,124.35091347881924,121.31796436957976,123.98418433815958,35246268,GOOGL
2023-06-16,124.81675860344102,124.99318505489347,122.19018502844602,122.4379749883512,45535553,GOOGL
2023-06-20,121.84327908457875,123.46878122155678,121.06026281127836,122.01177625731428,26097492,GOOGL
2023-06-21,121.31796436957976,121.57566592788116,119.03829673845205,119.48431866628135,30306336,GOOGL
2023-06-22,118.93918075448995,122.1505386348612,117.77952374213368,122.06133424929531,26952246,GOOGL
2023-06-23,120.3069813331666,121.70243527136864,119.98981018448796,121.25849477920252,34913637,GOOGL
2023-06-26,119.69246223260174,120.92150043373148,117.21951843274796,117.29385542071952,33969897,GOOGL
2023-06-27,116.04499402279735,118.02731370203888,115.07365737996903,117.28394382232332,39535936,GOOGL
2023-06-28,116.05490562119358,119.32573309194206,115.8170272596846,119.11758952562172,27091449,GOOGL
2023-06-29,118.1858992763782,118.99865034486722,117.2492532279366,118.04713689883128,24090902,GOOGL
2023-06-30,119.1076779272255,120.00963338128037,118.63192120420752,118.64183280260374,29532241,GOOGL
2023-07-03,118.1858992763782,119.1275011240179,117.76782805602616,118.84006477052787,14467850,GOOGL
2023-07-05,118.1858992763782,121.52610793590011,118.175987677982,120.67371047382628,27584809,GOOGL
2023-07-06,118.73599298736772,119.2365287063762,117.35332501109676,119.04820833684823,24778801,GOOGL
2023-07-07,119.03829673845205,119.97989858609176,118.34448485071752,118.42377763788718,21709549,GOOGL
2023-07-10,117.25420902713468,117.2591648263328,115.10834797435577,115.4205633238363,35315235,GOOGL
2023-07-11,115.261977749497,116.66942472175845,114.33028750025348,116.10446361317462,23078782,GOOGL
2023-07-12,117.74978894694506,119.2662635015648,117.36769682877129,117.87863972609576,30404409,GOOGL
2023-07-13,119.86095940533728,123.7264827798582,119.3852026823193,123.43904642636818,44297915,GOOGL
2023-07-14,123.69674798466956,125.65428866792055,122.39832859476635,124.31126708523443,33283076,GOOGL
2023-07-17,124.82667020183722,125.97631649981332,123.097096281699,123.54807400872646,25716215,GOOGL
2023-07-18,123.4985160167454,123.57780880391508,121.87301387976736,122.665941751464,26226447,GOOGL
2023-07-19,123.4985160167454,124.07338872372546,120.72326846580732,120.95123522892008,37224033,GOOGL
2023-07-20,120.34662772675144,122.99302449853884,117.17491623996504,118.14625288279336,37906763,GOOGL
2023-07-21,119.55369985505484,119.9204289957145,117.6804077581716,118.95900395128236,71606474,GOOGL
2023-07-24,120.5845060882604,121.91266027335222,119.9105173973183,120.45565530910972,29723667,GOOGL
2023-07-25,120.2871581363742,122.0563784500972,119.95016379090312,121.1296440000518,52509551,GOOGL
2023-07-26,128.9201603394709,129.8221157935258,127.1856306201346,128.12723246777432,61682093,GOOGL
2023-07-27,130.5060160828641,132.0621370310687,127.65147574475634,128.25608324692502,44952074,GOOGL
2023-07-28,129.62388382560164,132.55771695087907,129.41574025928128,131.407971536919,36591158,GOOGL
2023-07-31,131.5566455128621,132.3446175853606,130.6100878660243,131.5467339144659,28055531,GOOGL
2023-08-01,129.61892802640355,131.45752952890004,129.52476784163957,130.38707690210964,23276440,GOOGL
2023-08-02,128.30564123890605,128.93998353626333,126.43234914202284,127.24510021051184,26273258,GOOGL
2023-08-03,126.83872467626732,128.2412158493307,126.29358676447592,127.31448139928528,20159528,GOOGL
2023-08-04,128.13714406617052,130.34743050852478,126.77925508589009,126.97748705381426,26147158,GOOGL
2023-08-07,128.01820488541605,130.44654649248687,127.87944250786911,130.3672537053172,22746290,GOOGL
2023-08-08,129.46529825126234,130.34743050852478,128.39980142367,130.23840292616651,23535181,GOOGL
2023-08-09,130.4961044844679,130.8727452235238,127.85961931107671,128.5137848052264,24912918,GOOGL
2023-08-10,130.15911013899685,130.88265682192,128.30564123890605,128.54351960041504,20857754,GOOGL
2023-08-11,127.52262496560566,128.78139796192403,127.03695664419148,128.41466882126434,19591080,GOOGL
2023-08-14,128.2461716485288,130.20866813097788,127.81997291749188,130.16902173739308,24695608,GOOGL
2023-08-15,129.9410549742803,130.25822612295892,128.13714406617052,128.6327239859809,19770732,GOOGL
2023-08-16,127.56227135919048,129.12919594964694,126.73465289310715,127.56227135919048,25216068,GOOGL
2023-08-17,128.65254718277333,130.82318723154276,128.14705566456672,128.7714863635278,33446280,GOOGL
2023-08-18,127.37395098966252,128.1074092709819,125.26515931488544,126.33323315806076,30504769,GOOGL
2023-08-21,126.05075260376884,127.587050355181,125.44118930240208,127.23518861211564,25248729,GOOGL
2023-08-22,127.37395098966252,129.12632158611203,127.1856306201346,127.93891209824638,22067520,GOOGL
2023-08-23,129.0291879218292,132.2306342038042,128.72192837154677,131.19982797059865,27819713,GOOGL
2023-08-24,132.7658605171994,133.06320846908565,128.42458041966054,128.6327239859809,28500694,GOOGL
2023-08-25,128.3948456244719,129.6040606288092,126.1250895917404,128.73183996994297,26762891,GOOGL
2023-08-28,130.14919854060065,131.36832514333415,128.98954152824436,129.8518505887144,20543266,GOOGL
2023-08-29,131.07097719144795,135.36269929700578,131.07097719144795,133.38037961776428,43075556,GOOGL
2023-08-30,133.58852318408464,135.07030714431767,132.8847996979539,134.67879900766746,28315769,GOOGL
2023-08-31,134.80764978681816,136.78005786766346,134.5895946221016,134.9662353611575,30053800,GOOGL
2023-09-01,136.23987575507016,136.23987575507016,133.6579043728581,134.4607438429509,21543687,GOOGL
2023-09-05,134.24268867823434,135.21402532106265,133.39039033214445,134.5697714253092,19403112,GOOGL
2023-09-06,134.8175613852144,135.322953787437,132.4833799629075,133.271352035406,18684534,GOOGL
2023-09-07,132.40904297493594,134.38145105578127,131.77470067757866,134.0642799071026,18844342,GOOGL
2023-09-08,133.71737396323533,135.45190368257164,133.6579043728581,135.17437892747785,23584188,GOOGL
2023-09-11,135.33296450181714,136.26465475106065,134.58463882290349,135.70960524087303,20763350,GOOGL
2023-09-12,135.05543974672335,135.66014636487597,133.99489871832915,134.14357269427228,18405505,GOOGL
2023-09-13,133.8957827343671,135.68978204408063,132.9640924851236,135.5014616745527,20749496,GOOGL
2023-09-14,136.38359393181514,137.46891395619988,135.03561654993095,136.87917385162552,24750968,GOOGL
2023-09-15,136.76023467087103,137.29546098426627,135.2734949114399,136.185361963891,38919614,GOOGL
